id,university,country,addr,latitude,longitude,n,prop
1,Universidade Federal do Espírito Santo,Brazil,"Universidade Federal do Espírito Santo, Brazil",-20.306770324707,-40.3062286376953,1,1.0309278350515463
2,Friedrich Schiller University,Germany,"Friedrich Schiller University, Germany",27.9189796447754,-82.7855377197266,1,1.0309278350515463
3,University of British Columbia,Canada,"University of British Columbia, Canada",49.9404335021973,-119.395805358887,1,1.0309278350515463
4,Ankara Yıldırım Beyazıt university,Turkey,"Ankara Yıldırım Beyazıt university, Turkey",40.19389,32.68911,1,1.0309278350515463
5,Indiana University,United States,"Indiana University, United States",39.175121307373,-86.5169982910156,1,1.0309278350515463
6,University of Southern California,United States,"University of Southern California, United States",34.0214958190918,-118.28678894043,1,1.0309278350515463
7,University of New Mexico,United States,"University of New Mexico, United States",35.0837593078613,-106.620079040527,1,1.0309278350515463
8,University of Iowa,United States,"University of Iowa, United States",41.6621360778809,-91.5579147338867,2,2.0618556701030926
9,University of Georgia,United States,"University of Georgia, United States",33.9585304260254,-83.3743515014648,1,1.0309278350515463
10,Yildiz technical university,Turkey,"Yildiz technical university, Turkey",37.28588,27.78043,1,1.0309278350515463
11,New York University,United States,"New York University, United States",40.7304573059082,-73.9985275268555,2,2.0618556701030926
12,Monk Prayogshala,India,"Monk Prayogshala, India",22.3525123596191,79.3636856079102,1,1.0309278350515463
13,California Institute of Technology,United States,"California Institute of Technology, United States",34.1376647949219,-118.125381469727,1,1.0309278350515463
14,Universidad Nacional Autónoma de México,Mexico,"Universidad Nacional Autónoma de México, Mexico",19.3217334747314,-99.1854934692383,1,1.0309278350515463
15,University of Limpopo,South Africa,"University of Limpopo, South Africa",-23.8876895904541,29.738805770874,1,1.0309278350515463
16,University of Alicante,Spain,"University of Alicante, Spain",38.3846397399902,-0.513146996498108,1,1.0309278350515463
17,The University of Iowa,United States,"The University of Iowa, United States",41.6621360778809,-91.5579147338867,1,1.0309278350515463
18,Chinese University of Hong Kong,Hong Kong,"Chinese University of Hong Kong, Hong Kong",22.2794408529453,114.161892749694,1,1.0309278350515463
19,University of Amsterdam,Netherlands,"University of Amsterdam, Netherlands",52.3685417175293,4.89021587371826,1,1.0309278350515463
20,University College London,United Kingdom,"University College London, United Kingdom",51.5238151550293,-0.133059993386269,1,1.0309278350515463
21,Uni7,Brazil,"Uni7, Brazil",-10.3333330154419,-53.2000007629395,1,1.0309278350515463
22,George Mason University,United States,"George Mason University, United States",38.8325576782227,-77.2997589111328,1,1.0309278350515463
