id,university,country,latitude_uni,longitude_uni,latitude_country,longitude_country
1,Universidade Federal do Espírito Santo,Brazil,-20.2771567,-20.2771567,-10.3333333,-53.2
2,Friedrich Schiller University,Germany,48.20142265,48.20142265,51.0834196,10.4234469
3,University of British Columbia,Canada,49.258393749999996,49.258393749999996,61.0666922,-107.991707
4,Ankara Yıldırım Beyazıt university,Turkey,40.0672242,40.0672242,38.9597594,34.9249653
5,Indiana University,United States,39.170121800000004,39.170121800000004,39.7837304,-100.445882
6,University of Southern California,United States,34.0218833,34.0218833,39.7837304,-100.445882
7,University of New Mexico,United States,35.08663275,35.08663275,39.7837304,-100.445882
8,University of Iowa,United States,41.631102350000006,41.631102350000006,39.7837304,-100.445882
9,University of Georgia,United States,33.9404278,33.9404278,39.7837304,-100.445882
10,Yildiz technical university,Turkey,38.9597594,34.9249653,38.9597594,34.9249653
11,New York University,United States,40.72925325,40.72925325,39.7837304,-100.445882
12,Monk Prayogshala,India,22.3511148,78.6677428,22.3511148,78.6677428
13,California Institute of Technology,United States,34.13701375,34.13701375,39.7837304,-100.445882
14,Universidad Nacional Autónoma de México,Mexico,19.32160295,19.32160295,23.553556999999998,-102.26751579375113
15,University of Limpopo,South Africa,-23.890632250000003,-23.890632250000003,-28.8166236,24.991639
16,University of Alicante,Spain,38.2761926,38.2761926,39.3260685,-4.8379791
17,The University of Iowa,United States,41.6683126,41.6683126,39.7837304,-100.445882
18,Chinese University of Hong Kong,Hong Kong,22.4140914,22.4140914,22.2793278,114.1628131
19,University of Amsterdam,Netherlands,52.36813335,52.36813335,52.15517,5.38721
20,University College London,United Kingdom,43.008635350000006,43.008635350000006,54.7023545,-3.2765753
21,Uni7,Brazil,-3.77100425,-3.77100425,-10.3333333,-53.2
22,George Mason University,United States,38.83133325,38.83133325,39.7837304,-100.445882
23,University of Silesia in Katowice,Poland,50.260839250000004,50.260839250000004,52.215933,19.134422
24,SWPS University of Social Sciences and Humanities,Poland,52.24881825,52.24881825,52.215933,19.134422
25,Cornell University,United States,42.45059325,42.45059325,39.7837304,-100.445882
26,Delft University of Technology,Netherlands,51.99882735,51.99882735,52.15517,5.38721
27,Northeast Normal University,China,43.861682,43.861682,35.000074,104.999927
28,University of Houston Clear Lake,United States,29.580676699999998,29.580676699999998,39.7837304,-100.445882
29,London Business School,United Kingdom,51.526393049999996,51.526393049999996,54.7023545,-3.2765753
30,University of Alabama,United States,33.21208215,33.21208215,39.7837304,-100.445882
31,University of the Philippines Mindanao,Philippines,7.08510625,7.08510625,12.7503486,122.7312101
32,Flinders University,Australia,-35.02486815,-35.02486815,-24.7761086,134.755
33,Waseda University,Japan,33.8898728,33.8898728,36.5748441,139.2394179
34,Stanford University,United States,37.431313849999995,37.431313849999995,39.7837304,-100.445882
35,University of Braunschweig,Germany,52.2734144,52.2734144,51.0834196,10.4234469
36,University of Social Sciences,Poland,37.0013258,37.0013258,52.215933,19.134422
