ID;University;Country
1;Universidade Federal do Espírito Santo;Brazil
2;Friedrich Schiller University;Germany
3;University of British Columbia;Canada
4;Ankara Yıldırım Beyazıt university;Turkey
5;Indiana University;United States
6;University of Southern California;United States
7;University of New Mexico;United States
8;University of Iowa;United States
9;University of Georgia;United States
10;Yildiz technical university;Turkey
11;New York University;United States
12;Monk Prayogshala;India
13;California Institute of Technology;United States
14;Universidad Nacional Autónoma de México;Mexico
15;University of Limpopo;South Africa
16;University of Alicante;Spain
17;The University of Iowa;United States
18;Chinese University of Hong Kong;Hong Kong
19;University of Amsterdam;Netherlands
20;University College London;United Kingdom
21;Uni7;Brazil
22;George Mason University;United States
23;University of Silesia in Katowice;Poland
24;SWPS University of Social Sciences and Humanities;Poland
25;Cornell University;United States
26;Delft University of Technology;Netherlands
27;Northeast Normal University;China
28;University of Houston Clear Lake;United States
29;London Business School;United Kingdom
30;University of Alabama;United States
31;University of the Philippines Mindanao;Philippines
32;Flinders University;Australia
33;Waseda University;Japan
34;Stanford University;United States
35;University of Braunschweig;Germany
36;University of Social Sciences;Poland
37;University of the Philippines Diliman;Philippines
38;University of Delhi;India
39;University of Iowa;United States
40;James Madison University;United States
41;Alliant International University;United States
42;Amity University Kolkata;India
43;Universidad de los Andes;Chile
44;Universidad San Ignacio de Loyola;Peru
45;University of Toronto;Canada
46;Masaryk University Brno;Czech Republic
47;State University of New York (Albany);United States
48;University of Florida;United States
49;Catholic University of Croatia;Croatia
50;Benemérita Universidad Autónoma de Puebla;Mexico
51;Technische Universität/Dresden;Germany
52;University of Alabama;United States
53;SMPK VOKASIONAL INDAHPURA;Malaysia
54;University Alexandru Ioan Cuza;Romania
55;“Magna Graecia” University of Catanzaro;Italy
56;Eastern Michigan University;United States
57;Universidad Peruana Cayetano Heredia;Peru
58;PSYCOPERU;Peru
59;Pontifical Catholic University of São Paulo;Brazil
60;Alliant International University;United States
61;University of California;United States
62;Royal Commission for Jubail and Yanbu;Saudi Arabia
63;Aarhus University;Denmark
64;National Cheng Kung University;Taiwan
65;Monash University;Australia
66;Utrecht University;Netherlands
67;Akal University;India
68;Ahmedabad University;India
69;Technical University of Munich;Germany
70;Carleton University;Canada
71;São Francisco University;Brazil
72;Kingston University London;United Kingdom
73;São Francisco University;Brazil
74;Brown University;United States
75;Sapienza University of Rome;Italy
76;University of São Paulo;Brazil
77;University of Maryland;United States
78;University of Minnesota;United States
79;University of Cincinnati;United States
80;Masaryk University;Czech Republic
81;New York University;United States
82;American University of Beirut;Lebanon
83;University of Sydney;Australia
84;University of São Paulo;Brazil
85;DanKook University;South Corea
86;Harvard University;United States
87;Centro Escolar University;Philippines
88;Royal Holloway University;United Kingdom
89;Universidad Nacional Autónoma de México UNAM;Mexico
90;University of Cologne;Germany
91;Vrije Universiteit Amsterdam;Netherlands
92;ISCTE-IUL, Portugal;Portugal
93;University of Tennessee;United States
94;University of São Paulo;Brazil
95;Federal University of Pernambuco;Brazil
96;Harvard Medical School;United States
97;University of São Paulo;Brazil
